NR IMOVEL;NR INCRA;CEP
93802617;9510809713165;75180000
62055950;9500259003704;37589000
93802749;9501060342077;76400000
93802765;9510808771900;34300000
93802781;9510809928790;38720000
93802803;8671280229939;95300000
93802820;9510809941460;78652000
93802838;9510809926401;78652000
65690087;9500176025749;97541001
93802854;9510809939309;78652000
93802870;9510808645603;86650000
93802927;9500335847976;96195000
93802994;9510727693395;17499899
93803141;9510808521807;15170000
93803168;9999898190935;79765000
93803435;9501064103220;75480000
93803460;9510809864708;45650015
93803478;9510809864376;45650015
93803486;9510809863485;45650015
93803494;9510809864104;45650015
93803524;2090900192327;58560000
93803702;9510990059080;63620000
89892720;9510058571220;76210000
93803842;9510809966535;35328000
93803907;9510806351700;29845000
93803982;9510809435173;75850000
93804016;9510809636667;75980000
93804024;9501065916454;68635000
93804113;9999893486437;45980000
93804148;9500764555711;63210000
